model_id,cell_name,id,lengthscale,period_length,outputscale,w,noise_prob,Train Model ELPD,Train Mean Model ELPD,Train Pseudo-R2,Test Model ELPD,Test Mean Model ELPD,Test Pseudo-R2
NEUTRAL_5,NEUTRAL,5,0.7425090445130663,343.07054545301975,0.1650910690801778,-0.4999064130436859,0.01,-455.041087247349,-476.47004088807256,0.0449743988116922,-204.92462005398636,-208.16907157289768,0.015585655901699
NEUTRAL_6,NEUTRAL,6,0.7444013062301261,288.09639075636824,3.2934637021486824e-06,-1.2100602593451466,0.01,-338.9398389666235,-338.727797836394,-0.0006259927044189,-190.36785043056915,-188.2845281678228,-0.0110647554688585
NEUTRAL_7,NEUTRAL,7,0.7414970489867302,252.65067440507568,0.2556347614744812,0.3068089150534068,0.01,-332.9341159865001,-344.91588489165565,0.0347382345377315,-182.5167230041848,-167.0856034934466,-0.0923545726747394
NEUTRAL_8,NEUTRAL,8,0.7301899175656573,269.1690571179274,1.10243467760347,-0.2089407793631845,0.01,-460.4996004467156,-504.5909405778259,0.087380364143319,-254.6450289817621,-252.23980532826067,-0.0095354642792055
NEUTRAL_9,NEUTRAL,9,0.7465255276816756,283.7758205496837,0.0194350751932117,-1.804879610943132,0.01,-326.353221937527,-342.5778712240077,0.047360470857359,-174.77076383200654,-162.11187536097825,-0.0780873606134062
NEUTRAL_10,NEUTRAL,10,0.7443610969697859,373.208922008844,0.0103126095512897,-0.6010453488389438,0.01,-230.99204802516564,-236.14006352039928,0.0218006865014199,-98.78796185460074,-97.6785742713173,-0.0113575325147758
NEUTRAL_11,NEUTRAL,11,0.7324845702878707,296.31053511294186,0.0326561719112984,-1.0240532127089623,0.01,-371.2236220247687,-379.48853452029687,0.0217790835393107,-221.64498989244,-212.17538789557312,-0.044631010650149
NEUTRAL_12,NEUTRAL,12,0.7367851947437402,302.0234566544997,0.1898598135122687,-1.211410661383753,0.01,-358.1604310252244,-405.0162385807547,0.1156887134197901,-279.69160167315795,-209.1488619084304,-0.337284836843208
NEUTRAL_13,NEUTRAL,13,0.7378253807224657,275.1294983961353,0.2059851664459934,-0.3860755156608504,0.01,-372.9822997154431,-401.1441806128274,0.0702038874261157,-198.81899756081145,-189.44852690708984,-0.0494618290609201
NEUTRAL_14,NEUTRAL,14,0.7568698735463714,237.39832902368727,0.0933865091096063,-0.7883775724434963,0.01,-414.7971040552168,-434.2130018401256,0.0447151460288551,-241.33650090385424,-213.61170845940572,-0.1297906029795985
NEUTRAL_15,NEUTRAL,15,0.7406481915283235,384.4653796495754,0.0424180045475574,0.4502998521661587,0.01,-478.2674610990849,-479.8636322912863,0.0033263016506998,-232.0414120085365,-230.960219001785,-0.0046812953824881
NEUTRAL_16,NEUTRAL,16,0.7386659240641883,463.1062558399708,0.0220856258504234,-0.8022083912960869,0.01,-356.5126302766539,-364.1682877809029,0.0210223068870152,-201.70947442724608,-188.32777703747948,-0.071055356784164
NEUTRAL_17,NEUTRAL,17,0.7341152028162743,360.2285070900022,0.0366260819720434,-1.6255826421525383,0.01,-346.1805973512794,-355.658346322901,0.0266484649372372,-206.7134656477008,-190.78159502513043,-0.0835084255400617
NEUTRAL_18,NEUTRAL,18,0.7358830062319772,455.2197536071701,0.0179179522980362,-0.6319562722433458,0.01,-232.33160862359247,-239.3908318832989,0.0294882774088345,-109.83364760589782,-108.33270634646492,-0.0138549225811146
NEUTRAL_19,NEUTRAL,19,0.7420954689338615,356.24830466281423,0.0771250431256696,-0.4755593480620943,0.01,-439.6366986526376,-445.1053479865492,0.0122861910301667,-192.3707249798321,-194.2122673331796,0.0094821113961265
NEUTRAL_EXTRA_0,NEUTRAL,0,0.7443785058086553,314.3670222262558,3.329015284814499e-05,-1.079712270047516,0.01,-739.3899319750758,-739.1275885174423,-0.0003549366330104,-190.0761303151611,-190.25319709176864,0.0009306901503586
NEUTRAL_EXTRA_1,NEUTRAL,1,0.7466204577295915,335.1307049001352,0.0161012196808767,-1.072599102305781,0.01,-584.7265971269696,-595.5495793564246,0.0181731002835242,-169.66846367717957,-159.31731228067576,-0.0649719182951551
