model_id,cell_name,id,lengthscale,period_length,outputscale,w,noise_prob,Train Model ELPD,Train Mean Model ELPD,Train Pseudo-R2,Test Model ELPD,Test Mean Model ELPD,Test Pseudo-R2
OFF_6,OFF,6,0.7262854511359241,291.14621950456797,2.8105163981333328,0.5051914831945606,0.010000000000000002,-809.09503535929,-910.7606023240633,0.11162710234209161,-200.6832031913186,-234.75730347487996,0.14514607119436196
OFF_7,OFF,7,0.7366653556002511,293.6804715558171,6.290311904458193,0.8751312017786427,0.010000000000000002,-1247.0560460594434,-1270.7932823357285,0.018679069685240912,-330.71637049120545,-337.4918734984626,0.020076047867528923
OFF_8,OFF,8,0.7219552065531544,296.03381402620687,0.18130072203142272,-1.1545339976663236,0.010000000000000002,-634.6075309916745,-708.3123760955663,0.1040569776715965,-159.72870574769038,-179.25751663139613,0.108942772669681
OFF_9,OFF,9,0.7360018856807157,286.64557689410776,0.24631755753253065,0.5332843423321494,0.010000000000000002,-828.8786395753659,-848.2416192936503,0.022827198380584446,-198.3063768510043,-202.87530505595066,0.022520869179648573
OFF_10,OFF,10,0.7420350917611497,291.7466641910618,1.2637635976463262,0.35620791925573614,0.010000000000000002,-296.1307032314775,-328.9680753699014,0.0998193277615177,-61.55827943659365,-70.44695837112833,0.12617548209402296
OFF_11,OFF,11,0.7171885596866062,290.1365129958282,15.111275704136913,0.8563339684764635,0.010000000000000002,-829.9492841429799,-906.5585141963986,0.08450555463739429,-194.6910314996146,-198.39808957126894,0.018684948426999193
OFF_12,OFF,12,0.731428140264157,285.60839919349826,5.564786887768899,0.7500298914395886,0.010000000000000002,-385.37365657870663,-456.9856582037274,0.1567051401711509,-132.21690398875313,-157.0978920303465,0.1583788790545141
OFF_13,OFF,13,0.7443699379830637,304.2172654354025,0.00026805614651519155,0.71823122867791,0.010000000000000002,-1196.8692757340136,-1196.9685287962393,8.292036075963072e-05,-293.65292061420104,-293.7060417060782,0.00018086482514501068
OFF_14,OFF,14,0.7402448815246347,305.62825731093875,0.042081465312395566,-0.25063134995545866,0.010000000000000002,-741.2710806991021,-749.9064775129145,0.011515298337536728,-185.69086010516943,-186.96355520265905,0.006807182801536249
OFF_15,OFF,15,0.7321156468102203,295.92056589700314,7.011429409517966,0.8983613287163458,0.010000000000000002,-968.025600692018,-1016.7278708376516,0.047900988595413696,-192.70434690720268,-207.21179332145857,0.07001264832330145
OFF_16,OFF,16,0.7349847388524667,262.17679129094887,0.14382988191014207,0.3973738859829955,0.010000000000000002,-907.2655856574095,-913.8853746595275,0.007243565971918886,-249.99519761559804,-240.91321715174627,-0.037698141144872244
OFF_17,OFF,17,0.7440665332296423,308.4481788885434,0.0045847287929070635,-0.24344310776772193,0.010000000000000002,-716.5112577191298,-717.2032075987004,0.0009647891591105795,-187.70357207708776,-186.2658103367449,-0.007718870885341511
OFF_18,OFF,18,0.7436500006985673,302.7814103793212,0.019053168262931953,0.2866969315751239,0.010000000000000002,-817.5942913293823,-818.4936651774858,0.001098815893594618,-243.26804685312842,-236.61256598722508,-0.02812818008263629
OFF_19,OFF,19,0.7584336209828832,347.8099992688638,3.9032556882199336,0.674286680259207,0.010000000000000002,-1177.4587196775735,-1233.3919493269937,0.04534911199958813,-381.7430331124987,-366.0041793929334,-0.043001841524515694
OFF_20,OFF,20,0.7215677378551979,400.76824966843645,1.1897771502517336,0.41643245892270475,0.010000000000000002,-738.9342529800288,-807.1528280173958,0.08451754447163606,-221.7805247502765,-201.46481105038947,-0.10084001068953796
OFF_21,OFF,21,0.7141020385428949,309.179158499769,0.7981352202658036,0.4050214011560057,0.010000000000000002,-885.5291968989436,-899.1261030757844,0.015122357287067567,-211.92333558414293,-225.41015070657286,0.05983233266183452
OFF_22,OFF,22,0.7476746821018017,309.16576200164474,0.05504278083446216,0.4125722713851636,0.010000000000000002,-662.2879282607612,-668.631080189817,0.009486773972958384,-159.99167505713066,-149.55612219232404,-0.06977683502241971
OFF_23,OFF,23,0.7460137219637402,351.6852472976215,0.4675347590382899,0.4326812023135679,0.010000000000000002,-689.9978066356575,-727.8813529860179,0.052046320729263185,-209.4565981980968,-187.05001469028883,-0.1197892635555684
OFF_24,OFF,24,0.7444088022657361,295.6412246858328,2.2773677804357807e-06,-0.9853649359086176,0.010000000000000002,-635.0312199069483,-634.3639414390892,-0.0010518858722412538,-161.101749734063,-160.84267306795726,-0.0016107458373082473
NEUTRAL_0,NEUTRAL,0,0.724534833167347,325.9994647184349,0.0398530755163254,-2.042869743518872,0.010000000000000002,-293.34545229227734,-317.80712705677905,0.07697018940714762,-159.5920461008946,-146.9931956087267,-0.08571043332988082
NEUTRAL_1,NEUTRAL,1,0.7432842121575662,268.039763665329,0.13082008318223237,-0.009314934717960632,0.010000000000000002,-520.0879698332659,-524.0536763418838,0.007567367022974114,-220.9408929148462,-220.4754892688914,-0.0021109087794659587
NEUTRAL_2,NEUTRAL,2,0.7437423304170779,295.0241378375332,0.06208422171614789,-1.8338801402525968,0.010000000000000002,-307.8598821972424,-348.3028727235033,0.11611443284984369,-143.5176543499985,-162.12451875951353,0.11476897234227357
NEUTRAL_3,NEUTRAL,3,0.7364114718606223,309.4051853449031,0.13766600715498784,-0.7190007848416804,0.010000000000000002,-366.0968028454768,-397.2416768836755,0.07840283598268782,-172.2195283255464,-187.3659523546455,0.08083872143659265
NEUTRAL_4,NEUTRAL,4,0.7360302897969029,390.46648351124657,0.08431722329745832,-0.7994930364529818,0.010000000000000002,-407.45562203546683,-427.65016692152244,0.04722211388674957,-188.76443318591691,-190.8246287584666,0.010796277115556863
NEUTRAL_5,NEUTRAL,5,0.7425090445130663,343.07054545301975,0.16509106908017784,-0.4999064130436859,0.010000000000000002,-455.041087247349,-476.47004088807256,0.044974398811692295,-204.92462005398633,-208.16907157289768,0.015585655901699025
